id,race,gender,strip_search,items_found
1,White,M,No,NA
2,White,M,No,NA
3,Unknown or Legacy,M,No,NA
4,Black,M,No,NA
5,South Asian,M,No,NA
6,South Asian,M,No,NA
7,Black,M,No,NA
8,Black,M,No,NA
9,Black,M,No,NA
10,Black,M,No,NA
11,Black,M,No,NA
12,Black,M,No,NA
13,Black,M,Yes,0
14,Indigenous,M,No,NA
15,Black,M,Yes,0
16,Unknown or Legacy,M,No,NA
17,Unknown or Legacy,M,No,NA
18,Unknown or Legacy,M,No,NA
19,Unknown or Legacy,M,No,NA
20,Middle-Eastern,M,No,NA
21,Middle-Eastern,M,No,NA
22,Unknown or Legacy,M,Yes,0
23,Black,M,No,NA
24,White,M,No,NA
25,Black,M,No,NA
26,White,M,No,NA
27,White,M,No,NA
28,Black,M,No,NA
29,White,M,No,NA
30,South Asian,M,No,NA
31,Black,M,No,NA
32,Black,M,No,NA
33,South Asian,M,No,NA
34,White,M,Yes,0
35,White,F,No,NA
36,White,M,No,NA
37,White,M,No,NA
38,White,M,No,NA
39,Latino,M,Yes,0
40,Latino,M,No,NA
41,Latino,M,No,NA
42,White,F,No,NA
43,South Asian,F,Yes,0
44,South Asian,F,No,NA
45,South Asian,F,Yes,0
46,South Asian,F,No,NA
47,Unknown or Legacy,F,No,NA
48,East/Southeast Asian,F,No,NA
49,East/Southeast Asian,F,No,NA
50,East/Southeast Asian,F,No,NA
51,White,F,No,NA
52,White,M,No,NA
53,White,M,Yes,0
54,White,M,No,NA
55,White,F,No,NA
56,White,F,No,NA
57,White,F,Yes,1
58,Unknown or Legacy,M,No,NA
59,White,F,Yes,0
60,White,F,No,NA
61,Black,F,No,NA
62,Black,M,No,NA
63,Black,F,No,NA
64,Black,F,No,NA
65,Black,M,No,NA
66,Unknown or Legacy,M,No,NA
67,White,M,No,NA
68,Middle-Eastern,M,No,NA
69,East/Southeast Asian,M,No,NA
70,South Asian,M,Yes,0
71,East/Southeast Asian,M,No,NA
72,White,M,No,NA
73,Middle-Eastern,M,No,NA
74,White,M,Yes,0
75,White,M,No,NA
76,White,M,No,NA
77,Unknown or Legacy,M,No,NA
78,Unknown or Legacy,M,No,NA
79,Unknown or Legacy,M,No,NA
80,Unknown or Legacy,M,No,NA
81,Unknown or Legacy,M,No,NA
82,Unknown or Legacy,M,No,NA
83,Black,M,No,NA
84,Black,M,Yes,0
85,Black,M,Yes,0
86,Black,M,Yes,0
87,Black,M,No,NA
88,Black,M,Yes,0
89,Black,M,Yes,0
90,Black,M,Yes,1
91,Black,M,Yes,1
92,Black,M,No,NA
93,Black,M,No,NA
94,Black,M,No,NA
95,Black,M,No,NA
96,Black,M,No,NA
97,Black,M,No,NA
98,Black,M,No,NA
99,Black,M,No,NA
100,Unknown or Legacy,M,No,NA
101,South Asian,M,No,NA
102,White,M,No,NA
103,White,F,No,NA
104,Black,F,No,NA
105,White,M,No,NA
106,Black,F,No,NA
107,Black,F,No,NA
108,Black,F,No,NA
