id,race,gender,reason_injury,reason_escape,reason_weapons,reason_possess_evidence,items_found,total_reasons
13,Black,M,1,1,1,0,0,3
15,Black,M,1,1,1,0,0,3
22,Unknown or Legacy,M,1,0,0,0,0,1
34,White,M,0,0,1,1,0,2
39,Latino,M,1,0,1,0,0,2
43,South Asian,F,1,0,0,0,0,1
45,South Asian,F,1,0,0,0,0,1
53,White,M,1,1,1,1,0,4
57,White,F,1,0,0,1,1,2
59,White,F,1,0,0,1,0,2
70,South Asian,M,1,1,0,0,0,2
74,White,M,1,1,1,1,0,4
84,Black,M,1,1,0,0,0,2
85,Black,M,0,0,0,0,0,0
86,Black,M,0,0,0,0,0,0
88,Black,M,1,1,0,1,0,3
89,Black,M,0,0,0,0,0,0
90,Black,M,0,0,0,0,1,0
91,Black,M,1,1,0,1,1,3
133,Black,M,1,0,1,0,0,2
138,White,M,1,1,1,1,0,4
139,White,M,1,0,0,0,1,1
140,White,M,0,0,0,1,0,1
141,White,M,1,0,0,1,0,2
158,South Asian,F,0,0,1,0,0,1
169,South Asian,M,1,1,1,1,0,4
185,Black,M,0,0,1,0,0,1
187,White,M,1,1,1,0,0,3
196,White,M,1,1,0,0,0,2
202,White,M,0,0,0,0,0,0
203,White,M,1,0,1,1,0,3
206,White,M,1,0,0,0,0,1
221,Middle-Eastern,M,1,1,1,1,0,4
225,White,F,1,1,0,0,0,2
235,Black,M,0,0,0,0,1,0
242,Black,M,1,1,0,0,0,2
245,Black,M,1,1,1,1,1,4
255,White,F,1,1,1,1,0,4
257,White,F,0,0,0,1,0,1
259,White,F,1,0,0,0,0,1
260,White,F,1,1,1,1,0,4
262,White,M,1,0,0,1,0,2
263,White,M,0,0,0,0,0,0
270,Black,M,1,0,0,0,0,1
278,White,M,1,1,1,0,0,3
279,White,M,1,0,1,0,0,2
288,Black,M,0,0,1,0,0,1
309,Black,M,1,0,0,1,0,2
346,White,M,1,1,0,0,0,2
356,Black,M,1,1,0,1,0,3
357,Black,M,1,1,0,1,0,3
379,Unknown or Legacy,M,1,0,0,1,0,2
382,Unknown or Legacy,M,1,1,1,1,0,4
385,Black,M,0,0,0,1,0,1
387,Black,M,1,1,1,0,0,3
394,White,M,0,0,0,1,0,1
395,White,M,1,1,1,1,0,4
408,White,M,1,1,1,1,0,4
422,East/Southeast Asian,M,1,1,0,0,0,2
423,Black,M,1,1,0,0,0,2
428,White,M,0,0,0,0,0,0
433,White,M,0,0,0,0,0,0
437,Black,M,0,0,0,0,0,0
442,South Asian,M,1,1,1,1,0,4
447,Black,M,0,0,0,0,0,0
450,White,F,1,0,0,1,1,2
455,White,M,1,1,1,1,0,4
465,White,M,1,0,0,1,0,2
511,Indigenous,M,0,0,1,1,1,2
512,Indigenous,M,0,0,1,1,1,2
531,Black,M,1,0,0,1,1,2
565,White,M,1,0,0,0,1,1
566,White,M,1,1,0,0,0,2
576,Black,M,1,0,1,1,0,3
577,White,M,1,1,0,0,0,2
588,White,M,1,0,0,0,0,1
596,Unknown or Legacy,M,0,0,0,0,0,0
602,Black,M,1,1,1,1,0,4
610,Middle-Eastern,M,1,1,1,0,0,3
617,Black,M,1,1,1,1,0,4
618,Black,M,1,0,0,1,0,2
626,White,F,1,1,1,1,0,4
627,White,F,0,0,0,0,0,0
655,Black,M,1,0,1,0,0,2
659,Black,M,1,0,1,0,0,2
674,Unknown or Legacy,M,1,1,1,1,0,4
676,Unknown or Legacy,F,0,0,0,0,0,0
677,White,M,1,1,1,1,0,4
691,Black,F,0,0,0,0,0,0
714,White,F,0,0,0,1,0,1
716,Unknown or Legacy,F,1,1,1,1,0,4
